iteration,successor,predecessor,prunable
1,1,5,False
1,1,1,True
1,5,85,False
1,5,13,True
2,85,341,False
2,85,113,True
2,13,53,False
2,13,17,True
3,341,5461,False
3,341,227,True
3,113,1813,False
3,113,301,True
3,53,853,False
3,53,35,True
3,17,277,False
3,17,11,True
4,5461,21845,False
4,5461,29125,True
4,227,3637,False
4,227,151,True
4,1813,7253,False
4,1813,2417,True
4,301,1205,False
4,301,401,True
4,853,3413,False
4,853,4549,True
4,35,565,False
4,35,23,True
4,277,1109,False
4,277,1477,True
4,11,181,False
4,11,7,True
