iteration,successor,predecessor,prunable
1,341,5461,False
1,341,341,True
1,5461,21845,False
1,5461,3413,True
2,21845,349525,False
2,21845,116053,True
2,3413,54613,False
2,3413,17749,True
3,349525,1398101,False
3,349525,232789,True
3,116053,464213,False
3,116053,77141,True
3,54613,218453,False
3,54613,36181,True
3,17749,70997,False
3,17749,11605,True
4,1398101,22369621,False
4,1398101,7456085,True
4,232789,931157,False
4,232789,38741,True
4,464213,7427413,False
4,464213,2475349,True
4,77141,1234261,False
4,77141,410965,True
4,218453,3495253,False
4,218453,1164629,True
4,36181,144725,False
4,36181,23893,True
4,70997,1135957,False
4,70997,378197,True
4,11605,46421,False
4,11605,1877,True
